Idx	Frequency	Coverage (%)	Phrase
155	3	28.80	. <::::> thus
156	3	28.86	. <::::> the film
157	3	28.90	one
158	3	28.94	. <::::> he has
159	3	28.96	. <::::> for example
160	3	28.98	. <::::> they were
161	3	28.98	including
162	3	29.02	moved
163	3	29.02	used
164	3	29.04	local
165	3	29.06	! <::::>
166	3	29.10	. <::::> these include
167	3	29.14	. <::::> he was the
168	3	29.14	about
169	3	29.18	us
170	3	29.22	. <::::> after this
171	3	29.26	. <::::> the show
172	3	29.26	into
173	3	29.32	:
174	3	29.32	as well as
175	2	29.36	. <::::> the album
176	2	29.36	subgenre of house
177	2	29.38	whom
178	2	29.38	. <::::> during
179	2	29.42	. <::::> here
180	2	29.46	. <::::> the latter
181	2	29.46	almost
182	2	29.46	and it
183	2	29.46	battle
184	2	29.46	starts
185	2	29.48	finds
186	2	29.48	. <::::> and
187	2	29.48	current
188	2	29.50	. <::::> therefore
189	2	29.54	they have
190	2	29.54	games
191	2	29.54	; however
192	2	29.54	married
193	2	29.58	. <::::> it became
194	2	29.60	whilst
195	2	29.60	three
196	2	29.60	that are
197	2	29.62	. <::::> shortly after
198	2	29.62	. <::::> she has been
199	2	29.64	still
200	2	29.66	place
201	2	29.66	head
202	2	29.68	has been
203	2	29.68	include
204	2	29.72	. <::::> it has been
205	2	29.72	qualified
206	2	29.72	2010
207	2	29.74	be
208	2	29.76	been
209	2	29.78	most
210	2	29.80	series
211	2	29.80	15
212	2	29.80	long
213	2	29.80	35
214	2	29.82	company
215	2	29.82	initially
216	2	29.84	called
217	2	29.88	. <::::> he had
218	2	29.90	use
219	2	29.92	included
220	2	29.92	. <::::> additionally ,
221	2	29.94	u.s.
222	2	29.94	part of the u.s. state of
223	2	29.96	earlier
224	2	30.00	. <::::> the program
225	2	30.00	somewhat
226	2	30.02	they were
227	2	30.06	on the
228	2	30.08	scottish
229	2	30.12	currently
230	2	30.12	began
231	2	30.12	college
232	2	30.14	performed
233	2	30.16	completed
234	2	30.16	indigenous
235	2	30.20	. <::::> as well as
236	2	30.20	, which is
237	2	30.24	. <::::> he is also the
238	2	30.24	. <::::> he is also
239	2	30.28	, as well as
240	2	30.30	. <::::> later
241	2	30.32	group
242	2	30.32	2
243	2	30.34	brig . <::::> gen.
244	2	30.38	. <::::> he proposed
245	2	30.38	technology
246	2	30.38	. <::::> after
247	2	30.40	other
248	2	30.40	3
249	2	30.42	makes
250	2	30.42	. <::::> instead
251	2	30.44	another
252	2	30.44	. <::::> he wrote
253	2	30.48	gradually
254	2	30.48	was released
255	2	30.48	single
256	2	30.48	. <::::> this was done
257	2	30.50	mid-
258	2	30.52	. <::::> that
259	2	30.52	premiered
260	2	30.52	. <::::> on the way
261	2	30.52	. <::::> later that year
262	2	30.52	after
263	2	30.54	. <::::> the court
264	2	30.56	. <::::> i
265	2	30.56	titled
266	2	30.58	family
267	2	30.58	serving
268	2	30.58	member
269	2	30.62	won
270	2	30.64	1998
271	2	30.64	. <::::> he started
272	2	30.66	around
273	2	30.66	two
274	2	30.68	. <::::> one
275	2	30.70	he appeared
276	2	30.70	though
277	2	30.70	can
278	2	30.72	did
279	2	30.74	decides
280	2	30.76	once
281	2	30.78	region
282	2	30.78	sometimes
283	2	30.80	? <::::>
284	2	30.82	such as
285	2	30.82	may
286	2	30.82	itself
287	2	30.82	, since
288	2	30.82	a norwegian politician for
289	2	30.82	retired
290	2	30.82	2012
291	2	30.86	. <::::> he 's
292	2	30.88	ended
293	2	30.90	remained
294	2	30.90	conservative
295	2	30.90	several
296	2	30.94	. <::::> he died
297	2	30.94	. <::::> many
298	2	30.94	show
299	2	30.96	learned
300	2	30.98	. <::::> the houses
301	2	31.00	, who
302	2	31.00	it 's
303	2	31.02	. <::::> they have
304	2	31.04	in order
305	2	31.06	. <::::> the letter
306	2	31.06	black
307	2	31.10	. <::::> their
308	2	31.14	. <::::> it 's
309	2	31.16	appeared
310	2	31.16	who
311	2	31.18	famous
312	2	31.22	, she
313	2	31.22	it is
314	2	31.24	and tells
315	2	31.26	. <::::> thereafter
316	2	31.26	, as
317	2	31.26	ever
318	2	31.28	2nd
319	2	31.32	. <::::> he added
320	2	31.34	album
321	2	31.34	runs
322	2	31.36	sweden
323	2	31.38	released
324	2	31.42	. <::::> the team
325	2	31.44	the country
326	2	31.44	founder
327	2	31.44	the first
328	2	31.46	returned
329	2	31.48	now
330	2	31.52	. <::::> the battle
331	2	31.54	. <::::> the painting
332	2	31.54	name
333	2	31.56	one took place
334	2	31.58	however ,
335	2	31.58	only
336	2	31.58	. <::::> in 1986
337	2	31.58	advanced
338	2	31.58	composed
339	2	31.60	various
340	2	31.60	. <::::> at
341	2	31.62	under the ring name bray wyatt . <::::>
342	1	31.64	is the daughter of jim crace who is a contemporary english writer . <::::> crace
343	1	31.64	that consisted
344	1	31.64	. <::::> she transformed these spaces
345	1	31.66	to build educations centers for children in
346	1	31.66	set
347	1	31.66	triple meter . <::::>
348	1	31.68	female
349	1	31.70	literally
350	1	31.70	pop
351	1	31.72	. <::::> it is the second single
352	1	31.72	canadian alternative rock group
353	1	31.74	. <::::> it was released as a single
354	1	31.76	is a song recorded
355	1	31.76	. <::::> it touches on
356	1	31.78	questions
357	1	31.78	was written
358	1	31.80	, the
359	1	31.82	title of a song by british band duran duran . <::::> it was released in march 1993 as the
360	1	31.84	. <::::> it first
361	1	31.86	. <::::> it was released in april 2012 as the second single
362	1	31.86	, ''
363	1	31.88	ann '' . <::::> the
364	1	31.90	. <::::> the speaker
365	1	31.90	top fifty
366	1	31.92	forty - four on the u.s. '' billboard '' hot 100 . <::::> it hit number
367	1	31.92	. <::::> it is also featured in
368	1	31.94	comedy ,
369	1	31.94	. <::::> it was her first single
370	1	31.96	aussie
371	1	31.98	. <::::> it was written
372	1	32.00	debuted at number 93 on the '' billboard '' hot 100 issued for november 8 , 2014 . <::::> the song
373	1	32.02	. <::::> it was released on march 23 , 1999 from martin 's self - titled debut english album
374	1	32.04	song , recorded as
375	1	32.06	written about her obsession about conor mcbride . <::::> it was
376	1	32.06	. <::::> metaxa academia / the sunday mail / october 28
377	1	32.08	2012/page 11 ,
378	1	32.08	intended
379	1	32.10	as a single
380	1	32.10	rhythm
381	1	32.12	on 7 '' vinyl
382	1	32.14	written by ike turner . <::::> the song
383	1	32.16	. <::::> it is the
384	1	32.16	a song
385	1	32.16	canadian rock band
386	1	32.18	. <::::> it was released in may 1995 as the fourth single
387	1	32.20	song written by kim carnes and donna terry weiss , and recorded as a
388	1	32.22	, written in 1998 . <::::> it is
389	1	32.22	song written by smokey robinson , pete moore , and marv tarplin . <::::> it is a
390	1	32.24	1965 hit
391	1	32.26	deep
392	1	32.28	genre
393	1	32.30	amy winehouse . <::::> the song has also been covered by
394	1	32.32	their first cd '' so far away ( yet so close ) '' . <::::>
395	1	32.34	<::::> ariotty munced them all !
396	1	32.36	. <::::> she then taught
397	1	32.38	. <::::> the track is found on
398	1	32.40	. <::::> it was published
399	1	32.42	year . <::::> rajaldesar
400	1	32.44	. <::::> in these games
401	1	32.44	iiaf crashed due to a lightning strike , near zarandieh , iran . <::::> a fokker f - 27 friendship
402	1	32.44	iiaf
403	1	32.46	chalus
404	1	32.48	club . <::::> other
405	1	32.50	tossed a no - hitter against connecticut on march 26 , 2005 . <::::> he
406	1	32.52	. <::::> devil summoner soul hackers ''
407	1	32.52	option
408	1	32.52	unmarried
409	1	32.52	any female
410	1	32.54	. <::::> the purpose is for the male
411	1	32.54	. <::::> this exhibition
412	1	32.56	which began here , will travel to
413	1	32.58	estate . <::::> the secondary
414	1	32.58	a special interest in stereochemistry . <::::>
415	1	32.60	) and
416	1	32.60	almost like his
417	1	32.62	. <::::> he / she is the commander
418	1	32.62	data communications endpoint that is
419	1	32.64	, but does not use a network protocol for communication . <::::> it
420	1	32.66	of their term
421	1	32.68	house . <::::>
422	1	32.70	. <::::> this means
423	1	32.70	godlike
424	1	32.70	( as well as
425	1	32.72	port titled
426	1	32.74	22 . <::::>
427	1	32.76	theories about business ' . <::::> the earliest use
428	1	32.76	of the tower
429	1	32.76	for watching
430	1	32.78	annual
431	1	32.78	, while
432	1	32.80	did nothing . <::::> incorrect answers now
433	1	32.82	had taken
434	1	32.82	small ,
435	1	32.82	with very little gas and an older stellar population . <::::> they
436	1	32.84	found in the local group as
437	1	32.86	. <::::> while never adopted for use by combat units
438	1	32.88	. <::::> unfortunately shahida got
439	1	32.90	hit .292 with a career - high 79 rbi and
440	1	32.90	aired
441	1	32.92	17
442	1	32.94	( oas ) . <::::>
443	1	32.94	. <::::> evidence for this includes
444	1	32.94	both having the condition ( concordance )
445	1	32.96	pbc with other
446	1	32.98	makes it apparent . <::::>
447	1	32.98	massive sized
448	1	32.98	. <::::> by using these materials
449	1	32.98	dam
450	1	33.00	is able
451	1	33.02	. <::::> the guide contains
452	1	33.02	, because
453	1	33.04	decreases
454	1	33.06	such as in pioneer and voyager programs . <::::>
455	1	33.08	. <::::> they lick it from the ground
456	1	33.10	of minnesota . <::::> the university
457	1	33.10	. <::::> this is a radical change from
458	1	33.10	car industry current practices and
459	1	33.12	imortant
460	1	33.12	at swinfen hall
461	1	33.12	increases
462	1	33.14	population . <::::> the new construction was
463	1	33.16	. <::::> to make matters worse , a violent white supremacist group attack the band which turns
464	1	33.18	. <::::> the lady
465	1	33.18	. <::::> d. appleton and company
466	1	33.20	1887 - 1889
467	1	33.22	commenced
468	1	33.24	later . <::::> generally buses
469	1	33.24	saying that
470	1	33.26	waste resources attempting to register an opposition party , which , in their opinion , is impossible . <::::>
471	1	33.26	. <::::> a blue diplodorian who
472	1	33.28	staples
473	1	33.28	of the byrd machine
474	1	33.30	poll
475	1	33.30	operational
476	1	33.32	opened its passenger terminal for service in september 1999 . <::::> it
477	1	33.34	. <::::> the instrument
478	1	33.34	orange north 2.3 miles in
479	1	33.36	in 1946
480	1	33.36	pinto
481	1	33.38	. <::::> incidentally ,
482	1	33.38	. <::::> this would be
483	1	33.38	grounds
484	1	33.40	religion or
485	1	33.42	by hopkins architects partnership llp . <::::>
486	1	33.44	has been erected
487	1	33.46	british . <::::> its
488	1	33.48	video features the
489	1	33.50	island . <::::>
490	1	33.50	is a pipe
491	1	33.52	, it will consist
492	1	33.54	. <::::> however , hogg
493	1	33.56	with 12 times the sun 's radius . <::::> this means it
494	1	33.58	villian
495	1	33.60	quickly
496	1	33.60	. <::::> now
497	1	33.62	the season 4 is started
498	1	33.64	. <::::> they competed
499	1	33.66	and backs onto the a working newsroom . <::::> the set includes
500	1	33.68	15 april
501	1	33.70	banks
502	1	33.72	. <::::> tradition promises that everyone slept
503	1	33.74	child . <::::> she
504	1	33.76	or the netbeans gui editor
505	1	33.78	families . <::::> rylan compared abby to her previous daytime role
506	1	33.78	. <::::> the break
507	1	33.80	occur
508	1	33.82	currently playing for jomo cosmos . <::::> he
509	1	33.82	occasionally
510	1	33.84	. <::::> fistulas often lead to
511	1	33.86	a tunisian poet . <::::> echebbi was
512	1	33.86	, assisted in later years by mary marcy . <::::>
513	1	33.88	of america
514	1	33.88	. <::::> others were
515	1	33.88	, 54 ha
516	1	33.90	, 36 ha
517	1	33.90	in august
518	1	33.92	1874 . <::::> he
519	1	33.94	. <::::> they left
520	1	33.96	ensign
521	1	33.98	for 54,000 pounds . <::::> the catalog
522	1	33.98	presented his approach as empirical and inductive , he
523	1	33.98	. <::::> lynch also found tripp guilty of focusing
524	1	34.00	of understanding
525	1	34.02	. <::::> jesus baptises the resurrected dead man in a possible homosexual act
526	1	34.04	1889 . <::::> he was
527	1	34.04	1742 in
528	1	34.06	. <::::> john young
529	1	34.08	in 1848 . <::::> constable pleaded for a government job
530	1	34.10	his father 's birthplace listed as france and his mother 's as canada . <::::>
531	1	34.12	. <::::> they in turn
532	1	34.14	ministerie van justitie ( 1915 - 1955 ) inv . <::::> no. 13533 ( 1646 )
533	1	34.16	. <::::> ackhampstead was
534	1	34.18	the producers closed down production
535	1	34.20	from harrisburg , pa . <::::> he is
536	1	34.22	canadian football player . <::::> he is a
537	1	34.22	focus
538	1	34.22	and a
539	1	34.24	. <::::> as some of his series went on he went on
540	1	34.26	by her
541	1	34.28	the annual financial support from
542	1	34.30	. <::::> always a dedicated and passionate teacher
543	1	34.32	. <::::> furthermore , they have
544	1	34.34	heritage . <::::> he has
545	1	34.34	or waledemz , his creativity
546	1	34.36	. <::::> adewale
547	1	34.36	the canadian province of
548	1	34.38	. <::::> he is a member
549	1	34.40	. <::::> the paper investigated
550	1	34.42	who also wounded orgen 's
551	1	34.44	flag carrier and the national airline of greece . <::::> it is the
552	1	34.46	1996 . <::::> it gave
553	1	34.48	they unite . <::::>
554	1	34.50	. <::::> worth
555	1	34.50	4 ,
556	1	34.52	the same day that the fifth avenue hotel closed . <::::> it was
557	1	34.52	in 1798
558	1	34.52	around his home - town at żejtun . <::::> afterwards
559	1	34.52	when the french napoleonic forces had been oused ,
560	1	34.54	the british set up a provisional government in malta , he
561	1	34.54	getting smaller
562	1	34.54	smaller . <::::> it decided to build
563	1	34.56	next to the
564	1	34.58	after several months ,
565	1	34.58	in which he has an advantage against the two due to his speed ,
566	1	34.60	while he is distracted fighting spike . <::::> however
567	1	34.60	ellis
568	1	34.60	. <::::> he subsequently traveled
569	1	34.62	and arrived
570	1	34.64	which he occupied for the rest of his life . <::::> he also
571	1	34.64	ropeway
572	1	34.64	. <::::> ropeways work
573	1	34.64	a ''
574	1	34.64	'' which involves
575	1	34.66	'' involving
576	1	34.68	found that his left flank was turned . <::::> he
577	1	34.70	crosses over negrofoot branch . <::::> it then
578	1	34.72	a face like creature similar to ms. pac - man ,
579	1	34.74	. <::::> in 2001 liberty house
580	1	34.76	sleepwalker '' . <::::> in '' the
581	1	34.78	. <::::> he finished
582	1	34.80	by major league baseball . <::::> he
583	1	34.80	pa . <::::> while working in the book store ,
584	1	34.80	decided to study
585	1	34.80	and later entered
586	1	34.82	office
587	1	34.82	would salvage
588	1	34.84	yankees would then lose the
589	1	34.84	decided the only way in the sorority house is
590	1	34.84	a girl . <::::> bobby become '
591	1	34.86	successfully
592	1	34.88	. <::::> there he would be the
593	1	34.88	eureka
594	1	34.90	in illinois
595	1	34.92	, adding a third child . <::::> after marrying his second wife rita loving stern maurice
596	1	34.92	turn
597	1	34.92	reminisces about
598	1	34.94	. <::::> she thanks
599	1	34.94	1943
600	1	34.96	became another bostoner rebbe
