Idx	Frequency	Coverage (%)	Phrase
569	110	31.55	there is
570	110	31.55	contains
571	110	31.55	, while
572	110	31.56	. <::::> it consists
573	110	31.56	uses
574	109	31.57	on the
575	109	31.57	15
576	109	31.57	member
577	109	31.57	20
578	109	31.58	next
579	109	31.58	works
580	109	31.58	lost
581	109	31.59	is currently a free agent . <::::> he
582	109	31.60	he became
583	108	31.60	each
584	108	31.60	. <::::> despite this
585	107	31.61	2010
586	107	31.61	!
587	107	31.62	december
588	107	31.62	consists
589	107	31.62	player
590	107	31.62	serving
591	107	31.63	. <::::> she played
592	107	31.63	station
593	106	31.64	16
594	106	31.64	appears
595	106	31.64	ran
596	106	31.64	must
597	106	31.65	is an
598	105	31.65	. <::::> it was also
599	105	31.66	titled
600	105	31.66	makes
